description,director,cast,title,rating
A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game in this Indian thriller.,Anurag Kashyap,"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala, Mukesh Chhabra, Anuschka Sawhney, Vipin Sharma, Deepali Suryakant Badekar, Ashok Lokhande, Harssh Singh, Rajesh Jais, Hitesh Dave",Raman Raghav 2.0,TV-MA
A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham.,Rohit Shetty,"Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni, Sachin Khedekar, Sudhanshu Pandey, Anant Jog",Singham,TV-14
"Still desperate to find his granddaughter nearly a decade after her kidnapping, a devoted grandfather chases a dangerous new lead.",Ribhu Dasgupta,"Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Mukesh Chhabra, Sabyasachi Chakraborty, Prakash Belawadi, Tota Roy Chowdhury, Padmavati Rao, Suneel Sinha",TE3N,TV-14
"When Margaret's Christmas coronation complicates her love life, her double Stacy steps in to save the day. But will a third look-alike ruin their plan?",Mike Rohl,"Vanessa Hudgens, Nick Sagar, Sam Palladio, Mia Lloyd, Lachlan Nieboer, Ricky Norwood, Florence Hall, Suanne Braun, Mark Fleischmann",The Princess Switch: Switched Again,TV-G
"As they near their 25th wedding anniversary, Rick and Cristy try to conceal their crumbling marriage while their family prepares for a big celebration.",Cathy Garcia-Molina,"Sharon Cuneta, Richard Gomez, Kathryn Bernardo, Liza Lorena, Freddie Webb, Tommy Esguerra, Joross Gamboa, Tobie Dela Cruz",Three Words to Forever,TV-G
"On leave in his drought-ridden village to find his daughter a husband, a father becomes mired in the bribery-laced bureaucracy of his local government.",Shyam Benegal,"Boman Irani, Minissha Lamba, Sammir Dattani, Ila Arun, Ravi Kishan, Sonali Kulkarni, Rajit Kapoor, Ravi Jhankal, Yashpal Sharma, Rajendra Gupta",Well Done Abba,TV-14
"Interior designer Benjamin “Mr. Christmas” Bradley works with a trusty team of ""elves” to help families transform their homes for the holidays.",,Benjamin Bradley,Holiday Home Makeover with Mr. Christmas,TV-G
A sensitive Ainu teen searches for a spiritual connection with his recently deceased dad while navigating his indigenous identity in a changing world.,Takeshi Fukunaga,"Kanto Shimokura, Debo Akibe, Emi Shimokura, Toko Miura, Lily Franky",Ainu Mosir,TV-PG
"Kevin Hart serves up laughs and brick oven pizza from the comfort of his home, and dishes on male group chats, sex after 40 and life with COVID-19.",Leslie Small,Kevin Hart,Kevin Hart: Zero F**ks Given,TV-MA
The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.,,"JP Karliak, Pierce Gagnon, Kevin Michael Richardson, Alex Cazares, Flula Borg, Jake Green, Eric Bell Jr., David Lodge, Hope Levy, David Collins, Tony Hale, Nicole Sullivan",The Boss Baby: Back in Business,TV-Y7
"Explore an array of unique competitions, from the quirky to the bizarre, and meet their passionate communities in this docuseries.",,,We Are the Champions,TV-MA
A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving.,Jeff Nichols,"Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon, Terri Abney, Alano Miller, Jon Bass, Bill Camp, David Jensen",Loving,PG-13
"Powered by activists and leaders, this documentary follows the rise of the Black Lives Matter movement following the 2014 killing of Michael Brown.","Sabaah Folayan, Damon Davis",,Whose Streets?,R
"When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart.",Justin G. Dyck,"Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack",A Very Country Christmas,TV-G
Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.,,Tyra Banks,America's Next Top Model,TV-14
"After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade's birthplace.",,"Erika Harlacher, Griffin Puatu, Kimlinh Tran, Taylor Henry, Janice Roman Roku, Brian Anderson",Beyblade Burst Rise,TV-Y
"Inventor Flint Lockwood battles mutant food beasts created by his notorious machine, including shrimpanzees, tacodiles and jellyfish sandwiches.","Cody Cameron, Kris Pearn","Bill Hader, Anna Faris, James Caan, Will Forte, Andy Samberg, Benjamin Bratt, Neil Patrick Harris, Terry Crews, Kristen Schaal",Cloudy with a Chance of Meatballs 2,PG
"An ambitious entertainment lawyer tries to sign a singing sensation in his sister's small town, but a local soon captures his attention — and heart.",Justin G. Dyck,"Sarah Troyer, Bradley Hamilton, Kevin McGarry, Samantha Gracie",Hometown Holiday,TV-G
"After uncovering a magical locket that allows her to shrink in size, Polly and her friends set out on big adventures with petite power.",,"Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy",Polly Pocket,TV-Y
"In this long-running reality competition series, players battle the elements and each other as they vie for $1 million and the title of Sole Survivor.",,"Jeff Probst, Jerri Manthey, Colby Donaldson, Rupert Boneham, Parvati Shallow, Rob Mariano, Amanda Kimmel, James Clement, Amber Brkich, Alicia Calaway, Ethan Zohn, Tina Wesson",Survivor,TV-14
This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,,"Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser",The Crown,TV-MA
"Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place.",Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",White Christmas,TV-G
"An unlucky woman finds a solution for her hateful ex, a trying job hunt and a stalker through a charming P.I. – only to endure a new set of problems.",Damián Romay,"Haley Webb, Donny Boaz, Cathy Baron, Jason Alan Smith, Dennis Staroselsky, Owen Miller, Shawn Fitzgibbon",Killer Cove,TV-14
"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil.",,"Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston",American Horror Story,TV-MA
"After a foreboding dream about aliens comes true, a fun-loving trio must prevent human intelligence from being stolen from planet Earth.",Avinash Walzade,"Viraaj Modgill, Jasleen Singh, Pooja Punjabi, Amit Deondi, Ketan Kava, Zeel Thakkar, Manish Bhavan, Viswanathan Sridhar",Fukrey Boyzzz: Space Mein Fukrapanti,TV-Y7
"Decades after his trusted apprentice betrayed him, a once-joyful toymaker finds new hope when his kind and curious granddaughter comes into his life.",David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer",Jingle Jangle: A Christmas Journey,PG
"As urbanization expands throughout society, this documentary discusses the value of finding ways for children to forge real connections with nature.",Renata Terra,,The Beginning of Life 2: Outside,TV-PG
A Holocaust survivor running a daycare business forms an unlikely friendship with a bitter street kid when she takes him in after he robs her.,Edoardo Ponti,"Sophia Loren, Ibrahima Gueye, Renato Carpentieri, Diego Iosif Pirvu, Massimiliano Rossi, Abril Zamora, Babak Karimi",The Life Ahead,PG-13
A millionaire publisher gets a blackmail note — his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.,Mateo Gil,"Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá",The Minions of Midas,TV-MA
"After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned.",Cathy Garcia-Molina,"John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Oseña-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo",A Very Special Love,TV-G
A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.,,"Öykü Karayel, Fatih Artman, Funda Eryiğit, Defne Kayalar, Settar Tanrıöğen, Tülin Özen, Alican Yücesoy, Bige Önal",Ethos,TV-MA
A chance encounter soon intertwines the lives of a reserved businessman and a vibrant photographer who is living with a grave heart condition.,Paul Soriano,"Aga Muhlach, Bea Alonzo, Sandy Andolong, Albie Casiño, Edward Barber, Maureen Mann, Tim Donadt, Giselle Toengi, Raymond Lauchengco, Beverly Salviejo",First Love,TV-MA
"This dramatic rendering of a real-life tragedy recounts the final hours of Oscar Grant, shot by San Francisco transit police on New Year's Day, 2009.",Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray, Ahna O'Reilly, Ariana Neal, Keenan Coogler, Trestin George, Joey Oglesby",Fruitvale Station,R
"When a sudden death brings everyone’s dirty secrets to the surface, the lives and marriages of a group of close-knit friends unravel out of control.",,"Yu Jun-sang, Song Yoon-a, Bae Soo-bin, Kim Sung-oh, Jung Seok-yong, Kim Won-hae",Graceful Friends,TV-MA
"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",Anurag Basu,"Abhishek Bachchan, Aditya Roy Kapur, Rajkummar Rao, Sanya Malhotra, Fatima Sana Shaikh, Pankaj Tripathi, Rohit Saraf, Shalini Vatsa, Pearle Maaney",Ludo,TV-MA
"To cope with a friend's death, a teen blogs about his daily life but falls further into an existential crisis while experiencing a sexual awakening.",Lucas Santa Ana,"Renato Quattordio, Malena Narvay, Thomás Lepera, Jerónimo Giocondo Bosia, Tomás Wicz, Tomás Raimondi, Majo Chicar, Agustina Cabo",Memories of a Teenager,TV-MA
"On prom night, a high school senior still struggling with her nightmare past tries to evade a killer bent on ending the party for her and her friends.",Nelson McCormick,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis, Collins Pennie, Kelly Blatz, James Ransone, Brianne Davis, Kellan Lutz, Mary Mara, Ming-Na Wen, Johnathon Schaech, Idris Elba",Prom Night,PG-13
Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,Carla Barros,"Gloria Groove, Alexia Twister",A Queen Is Born,TV-14
"Comedy trio Aunty Donna showcase their uniquely absurd and offbeat style through an array of sketches, songs and eclectic characters.",,"Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Ed Helms, Kristen Schaal, Weird Al Yankovic, Kia Stevens, Paul F. Tompkins, Tawny Newsome",Aunty Donna's Big Ol' House of Fun,TV-MA
"A diverse, deeply brave crew of ragtag soldiers become some of the most heroic fighters of the European invasion in World War II. Based on true events.",,"Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Forrest Goodluck, Bryan Hibbard, Matt Mercurio, Harrison Stone, Billy Breed, Tatanka Means, Kiowa Gordon",The Liberator,TV-MA
"Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism.",,,Trial 4,TV-MA
"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",,,We Are All For The Fatherland,TV-14
A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort — and the family next door only adds to the tension.,Ulrike Kofler,"Lavinia Wilson, Elyas M'Barek, Anna Unterberger, Lukas Spisser, Iva Höpperger, Fedor Teyml, Marta Manduca, Maria Hofstätter, Tina Haller",What We Wanted,TV-MA
Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,"Steven Bognar, Julia Reichert",,A Lion in the House,TV-14
Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.,,"Midori Francis, Austin Abrams, Dante Brown, Troy Iwata",DASH & LILY,TV-14
"Dan Kouzo and his crew of heroic brawlers battle both challengers and powerful, evil forces as they work to protect humans and the Bakugan.",,,Bakugan: Armored Alliance,TV-Y7
Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,,"Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes",Bakugan: Battle Planet,TV-PG
A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.,Kunle Afolayan,"Temi Otedola, Jimmy Jean-Louis, Joke Silva, Gabriel Afolayan, Adjetey Anang, Ini Edo, Sadiq Daba, Wole Olowomojuore, Yomi Fash-Lanso, Bukunmi Oluwashina, Bienvenu Neba, Ray Reboul, Ibukun Awosika, Seun Kuti",Citation,TV-MA
"Country artist Coffey Anderson and his wife, hip-hop dancer Criscilla, juggle family life, career goals and tests of faith in this reality series.",,,Country Ever After,TV-PG
"After a sex video subjects her friend to mockery and bullying, a transfer student sets out to reveal the truth as campus secrets come to light.",Weica Wang,"Wang Yu-ping, Yuri Chen, Shiny Yao, Pii Liu, Mike Lin, Edison Song, Xia Teng-hong, Moon Lee",Girl's Revenge,TV-MA
"Fearing retribution, a Republican from the Spanish Civil War hides in his home for more than 30 years with the help of his wife. Based on true events.","Aitor Arregi, Jon Garaño, Jose Mari Goenaga","Antonio de la Torre, Belén Cuesta, Vicente Vergara, José Manuel Poga, Emilio Palacios",The Endless Trench,TV-MA
"A sex therapist with pituitary issues finally gets to experience puberty in all its glory at age 30, when an operation unleashes his raging hormones.",Kevin Pollak,"Johnny Simmons, Maria Bello, Brittany Snow, Kumail Nanjiani, Beck Bennett, Paul Wesley, Jane Lynch, J.K. Simmons, Lenora Crichlow",The Late Bloomer,R
"In 1970s Melbourne, a DJ named Boori Monty Pryor and his brother Paul navigate racial tensions and police encounters amid disco and discrimination.",,"Clarence Ryan, Aaron L. McGrath, Lisa Flanagan, Tommy Lewis, Nilbi Yasserie, Christopher Ketchup, Boori Monty Pryor, Jacek Koman, Colin Lane, Arthur Angel, Toby Truslove",Wrong Kind of Black,TV-MA
"As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend.",Otoja Abit,"Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino",A New York Christmas Wedding,TV-MA
"Eight years after their breakup, college sweethearts Christine and Raf reconnect at different points in their lives as feelings from the past resurface.",Antoinette Jadaone,"Liza Soberano, Enrique Gil, Adrian Alandy, Jasmine Curtis-Smith, Sylvia Sanchez, Nonie Buencamino, Xia Vigor, Richard Manabat",Alone/Together,TV-14
"A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story.",Alejandro Hartmann,,Carmel: Who Killed Maria Marta?,TV-14
Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.,Maxwell McGuire,"Natalie Hall, Evan Williams, Michael Gordon Shore, Steve Cumyn, Albert Brooks",Midnight at the Magnolia,TV-G
"When her son's condition becomes severe, a woman reconnects with the biological father. But the reunion puts a strain on their respective relationships.",Ruel S. Bayani,"Angel Locsin, Angelica Panganiban, Dingdong Dantes, Zanjoe Marudo, Miguel Vergara, Gina Pareño, Carmina Villarroel, Agot Isidro",One More Try,TV-14
A by-the-book political aide falls for a big-hearted Air Force pilot while looking to shut down his tropical base and its airborne Christmas tradition.,Martin Wood,"Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeff Joseph, Bethany Brown, Trezzo Mahoro, Rohan Campbell, Aliza Vellani, Aaron Douglas, Xavier de Guzman, Bruce Best",Operation Christmas Drop,TV-G
"After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations.",,"Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader",Paranormal,TV-14
A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues — and new feelings — for the suspect.,,"Emily Alatalo, Lauren Holly, Yanic Truesdale, Franco Lo Presti, Andrew Bushell, Genelle Williams, Kyana Teresa, Eric Hicks",A Christmas Catch,TV-G
A dedicated pediatrician reconsiders her feelings for a carefree prince as he secretly recovers from a ski accident alongside her young patients.,Justin G. Dyck,"Kaitlyn Leeb, Nick Hounslow, Josh Dean, Melinda Shankar, Liam MacDonald, Ilamaria Ebrahim, Charles Shaughnessy, Julia Baldwin",Christmas with a Prince,TV-PG
A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.,,"Ida Engvoll, Björn Mosten, Carla Sehn, Reine Brynolfsson, Gizem Erdogan, Björn Kjellman, Ruben Lopez, Johannes Kuhnke, Elsa Agemalm Reiland, Benjamin Shaps, Disa Östrand, Ejke Blomberg, Lars Väringer",Love & Anarchy,TV-MA
"Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business.",Narendra Nath,"Keerthy Suresh, Dr. Rajendra Prasad, Jagapathi Babu, V. K. Naresh, Nadhiya, Naveen Chandra, Sumanth Shailendra, Kamal Kamaraju, Praveen, Pujitha Ponnada, Divya Sripada",Miss India,TV-PG
"Felix Lobrecht aims his dark humor at overly polite culture, weird laughter, the sheer awkwardness of a walking baby and more in this stand-up special.",Jan-Peter Horns,Felix Lobrecht,Felix Lobrecht: Hype,TV-MA
"Shuhei’s erratic mother feels threatened when he starts to awaken to a world beyond her distorted control, sending the family hurtling towards tragedy.",Tatsushi Omori,"Masami Nagasawa, Sadao Abe, Daiken Okudaira",MOTHER,TV-14
"Scientists, advocates and parents around the world explore how carefully tending to kids' earliest needs can shape the course of human society.",Estela Renner,,The Beginning of Life,TV-PG
"Guillermo del Toro and Alfonso Cuarón discuss fellow Mexican director Fernando Frías de la Parra's award-winning film ""I'm No Longer Here.""",,"Guillermo del Toro, Alfonso Cuarón",Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,TV-PG
Three friends in a low-income neighborhood find humor and hope in their lives as they grapple with bad boyfriends and their dysfunctional families.,,"Mélissa Bédard, Ève Landry, Florence Longpré",Can You Hear Me?,TV-MA
A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.,"Zeek Earl, Christopher Caldwell","Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand, Anwan Glover",Prospect,R
"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",,,60 Days In,TV-MA
"Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage.",Michael Kampa,"Danny Glover, Denise Richards, Cameron Seely, Sean O'Bryan, Katrina Begin, Jake Van Wagoner, Douglas Spain, Dawson Ehlke",Christmas Break-In,TV-PG
"This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex.",,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil",Dawson's Creek,TV-14
An elite team of elves – and their furry fox cub friends – help bring the Christmas spirit to a boy whose mom may not make it home for the holidays.,Chanda Bell,"Leslie Bellair, Brad Hyland, Brody Rose, Carol Aebersold",Elf Pets: A Fox Cub’s Christmas Tale,TV-Y
"Determined to help Santa get ready for his merry rounds of gift-giving, a team of special elves wrangles in more reindeer and much-needed holiday magic.",Chanda Bell,"Brad Hyland, Drew Barber, Ashley Roberts, Lowrey Brown, Kristyl Tift, Manny Mahen, Olivia Berkeley, Eleanor Rocha",Elf Pets: Santa’s Reindeer Rescue,TV-Y
"When Blitzen suddenly retires, a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts.",Jennifer Westcott,"Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin, Jeff Dunham, John Cleese",Elliot the Littlest Reindeer,PG
Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.,,Wil Willis,Forged in Fire,TV-14
Former Scientology members share detailed accounts of alleged abuse and harassment by the Church in this docuseries from actress Leah Remini.,,"Leah Remini, Mike Rinder",Leah Remini: Scientology and the Aftermath,TV-14
"At Jurassic Park, a velociraptor handler and an operations manager tackle crises of epic proportions as they try to prevent dinosaur-sized disasters.",,,LEGO Jurassic World: Legend of Isla Nublar,TV-Y
A can-do problem solver teams up with a rugged animal behaviorist to transport a trio of dinosaurs across the park to a super-secret exhibit.,,"Britt McKillip, Ian Hanlin, Dhirendra, Alex Zahara, Vincent Tong, Bethany Brown, Adrian Petriw, Sabrina Pitre",LEGO Jurassic World: Secret Exhibit,TV-Y
"While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested.",,"Michael Adamthwaite, Paul Dobson, Kelly Metzger, Brent Miller, Kirby Morrow, Pauline Newstone, Vincent Tong, Sam Vincent",LEGO Ninjago,TV-Y7
"Kai, Jay, Cole and Zane must master their elemental powers and Spinjitzu weapons to protect the land of Ninjago, which also has an underworld.",,"Vincent Tong, Jillian Michaels, Ian James Corlett, John Novak, Paul Dobson, Michael Adamthwaite, Kelly Metzger, Brent Miller, Kirby Morrow, Brian Drummond, Mark Oliver, Michael Kopsa",LEGO Ninjago: Masters of Spinjitzu,TV-Y7
"In a boomtown built on fun, friendship and wacky mischief, a quirky crew of cops and firefighters work hard to preserve the peace and awesomeness.",,"Joe Zieja, Misty Lee, Alex Cazares, Daniel MK Cohen, James Arnold Taylor, Roger Craig Smith, Mick Lauer",LEGO: CITY Adventures,TV-Y
"Brian knows there are creatures under his bed. When he faces his fears and confronts them, however, he makes some hilariously weird new friends.",Richard Greenberg,"Fred Savage, Howie Mandel, Daniel Stern, Margaret Whitton, Rick Ducommun, Frank Whaley, Ben Savage, William Murray Weiss, Devin Ratray, Amber Barretto",Little Monsters,PG
"An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail.",Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich, Ronda Rousey, Carlo Alban, Sam Medina, Terry Kinney, Nikolai Nikolaeff, Natasha Goubskaya",Mile 22,R
A family man plots to kill a spellbinding sex worker but ends up in a psychosexual exercise to outwit his twisted target.,Nicolas Pesce,"Christopher Abbott, Mia Wasikowska, Laia Costa, Marin Ireland, Maria Dizzia, Wendell Pierce, Olivia Bond, Dakota Lustick",Piercing,R
This thriller traces Edward Snowden's journey from Army recruit to disillusioned government analyst bent on exposing vast U.S. surveillance programs.,Oliver Stone,"Joseph Gordon-Levitt, Shailene Woodley, Zachary Quinto, Melissa Leo, Tom Wilkinson, Timothy Olyphant, Nicolas Cage, Rhys Ifans, Joely Richardson, Scott Eastwood, Ben Schnetzer, Logan Marshall-Green",Snowden,R
"Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie.",,"Frank Welker, Wally Wingert, Gregg Berger",The Garfield Show,TV-Y
"When doubts rise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths.",,"Son Hyun-joo, Jang Seung-jo, Lee Elijah, Oh Jung-se",The Good Detective,TV-MA
"Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia.",J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh",The Impossible,PG-13
"In Boston, karate master Mr. Miyagi finds a new pupil in troubled teen Julie Pierce when she gets bullied by a group of relentless classmates.",Christopher Cain,"Pat Morita, Hilary Swank, Michael Ironside, Constance Towers, Chris Conrad, Arsenio ""Sonny"" Trinidad, Michael Cavalieri, Walton Goggins",The Next Karate Kid,PG
"A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder.",,"Jang Hyuk, Lee Ha-na, Baek Sung-hyun, Ye-sung, Son Eun-seo, Kwon Jae-hwan, Lee Ju-seung, Kim Jae-wook",Voice,TV-14
"To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will.",Shaun Paul Piccinino,"Matt Jones, Noureen DeWulf, John Ducey, Matty Cardarople, Jeff Fahey, Christina Moore, Gabriel Tigerman, Ali Afshar, Tyler Jacob Moore, Jessica Serfaty",Wheels of Fortune,R
"This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",Juliana Vicente,"Loo Nascimento, Ingrid Silva, Rincon Sapiência, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpção, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká",Afronta! Facing It!,TV-PG
"Based on true events, this story follows a Norwegian saboteur’s harrowing struggle to reach safety after escaping a Nazi attack during World War II.",Harald Zwart,"Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjøgård Pettersen, Vegar Hoel, Håkon T. Nielsen, Eirik Risholm Velle, Daniel Frikstad, Eric Dirnes, Alexander Zwart",The 12th Man,TV-MA
"Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize.",,"Adriano Zumbo, Rachel Khoo",Zumbo's Just Desserts,TV-PG
A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.,Stacia Crawford,"Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher",Hidden in Plain Sight,TV-14
"As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home.",Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",His House,TV-14
"A convicted murderer gets out of prison and reunites with his wife, who is plotting revenge against him after years of physical and emotional abuse.",Tope Oshin,"Chris Attoh, Adesua Etomi, Uzor Arukwe, Sika Osei, Leonora Okien, Shawn Faqua, Tina Mba",In Line,TV-14
"When a restless spirit curses a village that has a history of female infanticide, the town's fate lies in the hands of a 10-year-old girl.",Terrie Samundra,"Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod",Kaali Khuhi,TV-14
